Bertus Aafjes (1914–1993, Netherlands, p)
Stanislas Spero Adotevi (1934–2024, Benin, nf)
Jorge Enrique Adoum (1926–2009, Ecuador, p)
Nizamuddin Asir Adrawi (1926–2021, India, nf)
Wilna Adriaanse (born 1958, S Africa, f)
Edgar Adrian (1889–1977, England, nf)
Artur Adson (1889–1977, Russian E/Estonia, p/d/nf)
Adunis (born 1930, Syria, p/nf), born Ali Ahmad Said Esber
Amina Al Adwan (born 1935, Jordan/US, p/nf)
Endre Ady (1877–1919, Hungary, p)
Julia Cartwright Ady (1851–1924, England, nf)
Mariska Ady (1888–1977, Hungary, p)
Ae–Al
Aeba Koson (饗庭篁村, 1855–1922, Japan, f/nf)
Aelred of Rievaulx (1110–1167, England, nf)
Franz Aepinus (1724–1802, Russian E, nf)
Aeschines (389–314 BCE, Greece, nf)
Aeschylus (c. 525/524 – c. 456/455 BCE, Greece, d)
Aesop (c. 620 – 560 BCE, Greece, f)
Anastasia Afanasieva (born 1982, Ukraine, p/f)
Þórhildur Sunna Ævarsdóttir (born 1987, nf)
Max Afford (1906–1954, Australia, d/f)
Ali Mohammad Afghani (born 1925, Iran, f/nf)
S. A. Afolabi (born 1966, Nigeria, f)
Lucius Afranius (fl. early 1st c. BCE, Rome, p)
Maxamed Daahir Afrax (living, Somalia, f/d/nf)
Leo Africanus (1488–1554, Al-Andalus, nf)
Tatamkhulu Afrika (1920–2002, Egypt/S Africa, f/p/nf), pseudonym of Ismail Joubert
Sa'ida Bint Khatir al-Farisi (born 1956), Omani poet
John Agard (born 1949, British Guiana/Guyana, d/p/ch)
Francesco Algarotti (1712–1764, Italy, nf/p)
Shimon Agassi (1852–1914, Mesopotamia, nf)
Louis Agassiz (1807–1873, Switzerland/US, nf)
Hiroyuki Agawa (阿川弘之, 1920–2015, Japan, f/nf)
Patience Agbabi (born 1965, England, p)
Berthe-Evelyne Agbo (living, Benin/France, p)
Francis Agbodeka (1931–2005, Gold Coast/Ghana, nf)
James Agee (1909–1955, US, f/nf/p)
Claribel Alegría (1924–2018, Nicaragua, p/nf/f)
Deborah Ager (born 1978, US, p/nf)
Anna Caspari Agerholt (1892–1943, Norway, nf)
Pedro Agerre (1566–1654, Spain, nf)
Sven Aggesen (born c. 1140/1150, Denmark, nf)
Ifeoma Aggrey-Fynn (1980–2015, Nigeria, nf)
István Ágh (born 1938, Hungary, p), pseudonym of István Nagy
Zechariah Aghmati (1120–1195, Morocco, nf)
Maria Gaetana Agnesi (1718–1799, Italy, nf)
Pinky Agnew (born 1955, N Zealand, d/nf/p)
Shmuel Yosef Agnon (1888–1970, Austria-Hungary/Israel]]
Kelli Russell Agodon (born 1969, US, p)
Dritëro Agolli (1931–2017, Albania, p/f)
Georg Andreas Agricola (1672–1738, Germany, nf)
Rodolphus Agricola (1443/1444–1485, Netherlands, nf/p)
Heinrich Cornelius Agrippa (1486–1535, Holy Roman E/France, nf)
José Eduardo Agualusa (born 1960, Angola/Mozambique, f/p)
Brígida Agüero (1837–1866, Cuban, p)
João Aguiar (1943–2010, Portugal, f/nf)
Grace Aguilar (1816–1947, England/Germany, f/p/nf)
Luis Aguilar-Monsalve (born 1942, Ecuador, f/nf)
Marcos Aguinis (born 1935, Argentina, nf)
Delmira Agustini (1886–1914, Uruguay, p)
Bogi Ágústsson (born 1952, Iceland, nf)
Jot Agyeman (born 1967, Ghana, nf/d)
Ivor Agyeman-Duah (born 1966, Ghana, nf)
Ah Cheng (鍾阿城, born 1949, China, d/f)
Cecelia Ahern (born 1981, Ireland, f)
Jerry Ahern (1946–2012, US, f/nf)
Alf Ahlberg (1892–1979, Sweden, nf)
Lars Ahlin (1915–1997, Sweden, f)
Farrukh Ahmad (1918–1974, India/Bangladesh, p/ch)
Ishtiaq Ahmad (1941–2015, India/Pakistan, f/nf)
Malik Zahoor Ahmad (living, Pakistan, nf)
Najiba Ahmad (born 1954, Iraq, p/f)
Shahnon Ahmad (1933–2017, Malaya/Malaysia, f)
Abdel Rahim Ahmed (living, Egypt, d)
Ashfaq Ahmed (1925–2004, India/Pakistan, f/d)
Humayun Ahmed (1948–2012, E Pakistan/Bangladesh, f/d/nf)
Kazi Anis Ahmed (born 1970, Bangladesh, nf/f)
Leila Ahmed (born 1940, Egypt/US, nf)
Mohammed Taha Mohammed Ahmed (1965–2006, Sudan, nf)
Mouna-Hodan Ahmed (born 1972, Djibouti, f)
Ahmet Vefik Paşa (1823–1891, Turkey, nf/d)
Abul Mansur Ahmad (1898–1979, India/Bangladesh, f/nf)
Shaykh Ahmad (1753–1826, Hijaz, nf), in full Ahmad bin Zayn al-Dín bin Ibráhím al-Ahsá'í
Jasmina Ahmetagić (born 1970, Yugoslavia/Serbia, nf/p)
Astrid Ahnfelt (1876–1962, Sweden, f)
Juhani Aho (1861–1921, Russian E/Finland, f), born Johannes Brofeldt
Syed Ali Ahsan (1922–2002, India/Bangladesh, p/nf)
Alfred Aho (born 1941, Canada, nf)
Jeannette D. Ahonsou (born 1954, Togo, f)
Ai (1847–1910, US, p), born Florence Anthony
Ai Qing (艾青, 1910–1996, China, p)
Mohamed Aïchaoui (1921–1959, Algeria, nf)
Ilse Aichinger (1921–2016, Austria, nf/f/p)
Robert Aickman (1914–1981, England, f/nf)
Ama Ata Aidoo (1940–2023, Gold Coast/Ghana, f/nf/p)
Kofi Aidoo (born 1950s, Gold Coast/Ghana, f)
Naja Marie Aidt (born 1963, Denmark, p/f)
Shō Aikawa (會川昇, born 1965, Japan, f)
Conrad Aiken (1899–1973, US, p/f)
Joan Aiken (1924–2004, England, f/ch)
John Aikin (1747–1822, England, nf)
Lucy Aikin (1781–1864, England, nf)
Aganice Ainianos (1838–1892, Greece, p)
Alfred Ainger (1837–1904, England, nf)
Hew Ainslie (1792–1878, Scotland/US, p/nf)
Henry Ainsworth (1571–1622, England, nf)
Ruth Ainsworth (1908–1984, England, ch/d)
William Harrison Ainsworth (1805–1882, England, f)
César Aira (born 1949, Argentina, f/nf)
Catherine Aird (born 1930, England, f)
Aa'isha bint Ahmad al-Qurtubiyya (died 1010), Andalusia, p)
Jean Aitchison (born 1938, England, nf)
Adam Aitken (born 1960, England/Australia, p)
Aizu Yaichi (会津八一, 1881–1956, Japan, p/nf)
Tolu Ajayi (born 1946, Nigeria, p/nf)
Dejan Ajdačić (born 1959, Yugoslavia/Ukraine, nf)
Ahmad ibn Ajiba (1747–1809, Morocco, nf/p)
Yemi Ajibade (1929–2013, Nigeria/England, d)
Audrey Ajose (born c. 1937, Nigeria, nf/ch)
Jófríður Ákadóttir (born 1994, Iceland, p)
Baku Akae (赤江瀑, 1933–2012, Japan, f)
Jirō Akagawa (赤川次郎, born 1948, Japan, f)
Satoru Akahori (あかほりさとる, born 1965, Japan, f)
Lotfi Akalay (1943–2019, Tangier/Morocco, nf/f)
John Akar (1927–1975, Sierra Leone, nf)
Akazome Emon (赤染衛門, late 950s/early 960s – 1041 or later, Japan, p/nf)
Hyder Akbar (born 1984, Pakistan/US, nf)
Ahmad Akbarpour (born 1970, Iran, f/ch)
Yusuf Akcura (1876–1935, Turkey, nf)
Mikalojus Akelaitis (1829–1887, Russian E/France, nf)
Grace Akello (born 1950, Uganda, p/nf)
Jan van Aken (born 1961, Netherlands, f)
Mark Akenside (1721–1770, England, p)
Mohammed Akensus (1797–1877, Morocco, nf)
John Yonge Akerman (1806–1873, England, nf)
Rachel Akerman (1522–1544, Austria/Moravia, p)
Sonja Åkesson (1926–1977, Sweden, p)
Lucy Akhurst (born 1970, England, d)
Bella Akhmadulina (1937–2010, USSR/Russia, p/f)
Anna Akhmatova (1889–1966, Russian E/USSR, p)
Jan Nisar Akhtar (1914–1976, Russia E/USSR, p)
Javed Akhtar (born 1945, India, p/d/nf)
Salman Akhtar (born 1946, India/US, nf)
Shaheen Akhtar (born 1962, E Pakistan/Bangladesh, f/nf)
Tolu Akinyemi (living, Nigeria, p)
Mizuhito Akiyama (秋山瑞人, born 1971, Japan, f)
Akiyuki Nosaka (野坂昭如, 1930–2015, Japan, f/p)
Kofi Akpabli (born 1973, Ghana, nf)
Uwem Akpan (born 1971, Nigeria/US, f/nf)
Mirko Aksentijević (1922–2011, Yugoslavia/Serbia, nf)
Ryūnosuke Akutagawa (芥川龍之介, 1892–1927, Japan, f)
Ahmad ibn Munim al-Abdari (died 1228, Andalusia, nf)
Muhammad Aladdin (born 1979, Egypt, f/d)
Ismail ibn al-Ahmar (1387–1406, Morocco, nf)
William Alabaster (1567–1640, England, p/d/nf
Alcaeus of Mytilene (c. 625/620 – c. 580 BCE, Greece, p)
Raabi'a al-Adwiyya (714–801, Arabic region, p)
Anne-Marie Albiach (1937–2012), French poet and translator
Tunku Zain Al-'Abidin (born 1982, Malaysia, nf)
Ahmed Alaidy (born 1974, Egypt, d/p)
Gamila El Alaily (1907–1991, Egypt, p/f)
Laila al-Akhyaliyya (died 694–709, Arab region, p)
Idriss ibn al-Hassan al-Alami (1925–2007, Morocco, p)
Luigi Alamanni (1495–1556, Italy, p)
Harutyun Alamdaryan (1795–1834, Russian E, p/nf)
Mohammed ibn al-Tayyib al-Alami (died 1722, Morocco, nf)
Mohammed ibn al-Tayyib al-Alami (1698–1756, Morocco, nf)
Mohammed ibn Mohammed Alami (1932–1993, Morocco, p)
Mohammed ibn Idris al-Amrawi (1794–1847, Morocco, p)
Mubarkah Bent al-Barra (born 1957, Mauritania, p/ch)
Eva Allen Alberti (1856–1938, US, nf/d)
Alcman (fl. 7th c. BCE, Greece, p)
Salma Khalil Alio (born 1982, Chad, p)
Anacreon (c. 582 – c. 485 BCE, Greece, p)
Anaxagoras (c. 500 – c. 428 BCE, Greece, nf)
Anaximander (c. 610 – c. 546 BCE, Greece, nf)
Anaximenes of Miletus ( c. 586 – c. 526 BCE, Greece, nf)
Andocides (c. 440 – c. 390 BCE, Greece, nf)
Nadia Anjuman (1980–2005), Afghanistan, p)
Süreyya Aylin Antmen (born 1981), Turkey, nf/p)
Wani Ardy (born 1984), Malaysia, p/nf)
Kaddour El Alamy (1742–1850, Morocco, p)
Alaol (1607–1680, Bengal, p)
Abbas Mahmoud al-Aqqad (1889–1964, Egypt, p/nf)
Daniel Alarcón (born 1977, Peru, f/nf)
Juan Ruiz de Alarcón (c. 1581–1639, Mexico, d)
Taqiyya Umm Ali bint Ghaith ibn Ali al-Armanazi (1111–1183/1184, Arab region, p), Sitt al-Ni'm
Leopoldo Alas (1852–1901, Spain, f/nf)
Alasdair mac Mhaighstir Alasdair (c. 1698–1770, Scotland, p/nf)
Syed Hussein Alatas (1928–2007, Malaya/Malaysia, nf)
Alev Alatlı (born 1944, Turkey, nf/f)
Ali ibn al-Athir (1160–1233, Mesopotamia/Iraq, nf)
Bozorg Alavi (1904–1997, Iran/Germany, f/nf)
Ave Alavainu (born 1942, Estonia, p)
Bozorg Alavi (1904–1997, Iran/Germany, nf/f)
Alauddin Al-Azad (1932–2009, India/Bangladesh, f/p/d)
Abu al-Abbas al-Azafi (1162–1236, Ceuta, nf)
Nura al-Badi (born 1969), Oman, p)
Abd al-Haqq al-Badisi (died post-1322, Morocco, nf)
Safiyya al-Baghdadiyya (fl. 12th c.), Arab region, p)
David Albahari (born 1948, Yugoslavia/Canada, f)
Gillebríghde Albanach (fl. 1200–1230, Scotland, p)
Za'ima Sulayman al-Baruni (1910–1976, Libya, f/nf)
Edward Albee (1928–2016, US, d)
Albert of Aix (fl. c. 1100, Holy Roman E, nf)
Albertus Magnus (c. 1200–1280, Duchy of Bavaria/Holy Roman E, nf)
Susan Wittig Albert (born 1940, US, f)
Pierre Albert-Birot (1876–1967, France, p/d)
Anne-Marie Albiach (1937–2012, France, p)
Jordie Albiston (1961–2022, Australia, p)
Albrecht von Johansdorf (c. 1180 – c. 1209, Germany, p)
Vera Albreht (1895–1971, Austrian E/Yugoslavia, p/nf)
Madeleine Albright (1937–2022, US, nf)
Mitch Albom (born 1958, US, f/nf)
Aurora de Albornoz (1926–1990), Spain, p/nf)
Enrique López Albújar (1872–1966, Peru, p)
Al-Buzidi al-Bujrafi (1925–2011, Morocco, p)
Afonso de Albuquerque (c. 1453–1515, Portugal, nf)
Anthony the Great (251–356, Greece, nf)
Ayaan Hirsi Ali (born 1969, Somalia/US, nf)
Maram al-Masri (born 1962), Syrian/French poet and writer
Fatima al-Taytun (born 1962), Bahrain poet
Elizabeth Alexander (born 1962), American poet, essayist, playwright and academic
Alcaeus (fl. 4th c. BCE, Athens, p/d)
Alcaeus of Messene (fl. 219–196 BCE, Greece, p)
Alcaeus of Mytilene (c. 625/620 – c. 580 BCE, Lesbos, p)
Ammiel Alcalay (born 1956, US, p/nf)
Baltasar del Alcázar (1530–1606, Spain, p)
Alcman (fl. 7th c. BCE, Sparta, p)
Vivien Alcock (1924–2003, England, ch)
Mariana Alcoforado (1640–1723, Portugal, nf)
Amos Bronson Alcott (1799–1888, US, nf)
Louisa May Alcott (1832–1888, US, ch/f, p)
Alcuin (c. 735–804, England/France, nf/p)
Kaye Aldenhoven (living, Australia, p)
Naomi Alderman (born 1974, England, f)
Hugh Aldersey-Williams (born 1959, England, nf)
Maggie Alderson (born 1959, England/Australia, f/nf)
Thomas Aldham (c. 1616–1660, England, nf)
Richard Aldington (1892–1962, England, f/nf/p)
Brian Aldiss (1925–2017, England, f)
Ahmad al-Tayyeb Aldj (1928–2012, Morocco, p/d)
Henry Aldrich (1647–1710, England, nf)
Nelson W. Aldrich (1841–1915, US, nf)
James Aldridge (1918–2015, Australia/England, f/nf/ch)
Radu Aldulescu (novelist) (born 1954, Romania, f)
Jalal Al-e-Ahmad (1923–1969, Iran, f/nf)
Léonard Aléa (18th-century–1812, France, nf)
Vasile Alecsandri (1821–1890, Moldavia/Romania, p/d)
Mira Alečković (1924–2008, Yugoslavia/Serbia, p)
Tudur Aled (c. 1465–1525, Wales, p)
Caetano da Costa Alegre (1864–1890, São Tomé and Príncipe, p)
Manuel Alegre (born 1936, Portugal, p/nf)
Ciro Alegría (1909–1967, Peru, nf/f)
Claribel Alegría (1924–2018, Nicaragua/Salvador, p/nf/f)
Fernando Alegría (1918–2005, Chile, p/nf)
Vicente Aleixandre (1898–1984, Spain, p)
Josip Murn Aleksandrov (1879–1901, Austria-Hungary, p)
Haddis Alemayehu (1910–2003, Ethiopia, f/nf)
Jean le Rond d'Alembert (1717–1783, France, nf)
José de Alencar (1829–1877, Brazil, f/d/nf)
Rochelle Alers (born 1963, US, f), pseudonyms Susan James and Rena McLeary
Andrés J. d'Alessio (1940–2009, Argentina, nf)
Arnold Aletrino (1858–1916, Netherlands, nf)
Bernhard Alexander (1850–1927, Hungary, nf)
Horace Alexander (1889–1989, England/US, nf)
Kate Alexander, pseudonym of Tilly Armstrong (1927–2010, England, f)
Kwame Alexander (born 1968, US, p/ch)
Lloyd Alexander (1924–2007, US, ch/f)
Miriam Alexander (1879 – post-1924, England, f)
Sue Alexander (1932–2008, US, ch/nf)
Trisha Alexander, pseudonym of Patricia Kay (born 1937, US, f)
Grigore Alexandrescu (1810–1885, Wallachia/Romania, p)
Larisa Alexandrovna (born 1971, USSR/US, nf/p)
Ioan Alexandru (1941–2000, Romania/Germany, p/nf)
Sherman Alexie (born 1966, US, f/p)
Elena Alexieva (born 1975, Bulgaria, p/f)
Abelardo Díaz Alfaro (1916–1999, Puerto Rico, f/nf)
Ahmad ibn Idris al-Fasi (1760–1837, Morocco, nf)
David ben Abraham al-Fasi (fl. 10th c., Morocco, nf)
Hamdun ibn al-Hajj al-Fasi (1760–1817, Morocco, nf)
Isaac Alfasi (1013–1103, Algeria, nf)
Mohammed al-Arbi al-Fasi (1580–1642, Morocco, nf)
Mohammed ibn Zakri al-Fasi (died 1731, Morocco, nf/p)
Allal al-Fassi (1910–1974, Morocco, nf/p)
Malika al-Fassi (1919–2007, Morocco, nf/d/f)
Felipe Alfau (1902–1999, Spain/US, f/p)
Muhammad al-Fayturi (1936–2015, Sudan/Morocco, p/d/nf)
Pierre Alféri (born 1963, France, f/p)
Alfredo Armas Alfonzo (born 1990, Venezuela, nf/f)
Mohammed al-Habib al-Fourkani (1922–2008, Morocco, nf/p)
Hans Alfredson (1931–2017, Sweden, f)
Horatio Alger (1832–1899, US, ch)
John Goldworth Alger (1836–1907, England, nf)
Muhammad Asadullah Al-Ghalib (born 1948, E Pakistan/Bangladesh, nf)
Abd al-Aziz al-Ghumari (1920–1997, Tangier, nf)
Abdullah al-Ghumari (1910–1993, Tangier, nf)
Ahmad al-Ghumari (1902–1961, Morocco/Egypt, nf)
Gamal al-Ghitani (1945–2015, Egypt, f/nf)
